Time [s],Channel 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.851060833,0,,0.001466666,,1466.666,,1466,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.851586542,1,,0.000525709,,525.709,,525,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.853054417,0,,0.001467875,,1467.875,,1467,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.853581625,1,,0.000527208,,527.208,,527,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.855049417,0,,0.001467792,,1467.792,,1467,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.855573375,1,,0.000523958,,523.958,,523,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.857061375,0,,0.001488,,1488,,1488,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.857529375,1,,0.000468,,468,,468,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.858058667,0,,0.000529292,,529.292,,529,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.85855275,1,,0.000494083,,494.083,,494,,"605,17924,2979,8975,527,465,506,1491,498,499,498,518,478,518,478,518,477,519,490,504,493,493,480,1522,496,499,501,494,505,1486,505,490,503,491,505,1487,528,1466,525,1467,527,1467,523,1488,468,529,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
